Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
VIX210519C00018000,2021-04-21 4:01PM EDT,18.00,3.18,0.00,0.00,-0.78,-19.70%,387,8282,3.13%
VIX210519C00019000,2021-04-21 4:01PM EDT,19.00,2.76,0.00,0.00,-0.66,-19.30%,192,7076,6.25%
VIX210519C00020000,2021-04-21 4:15PM EDT,20.00,2.35,0.00,0.00,-0.75,-24.19%,11744,45678,12.50%
VIX210519C00021000,2021-04-21 4:00PM EDT,21.00,2.05,0.00,0.00,-0.65,-24.07%,2611,35801,12.50%
VIX210519C00022000,2021-04-21 4:09PM EDT,22.00,1.90,0.00,0.00,-0.50,-20.83%,9126,42351,25.00%
VIX210519C00023000,2021-04-21 3:41PM EDT,23.00,1.62,0.00,0.00,-0.58,-26.36%,2246,22180,25.00%
VIX210519C00024000,2021-04-21 4:14PM EDT,24.00,1.55,0.00,0.00,-0.35,-18.42%,2610,19351,25.00%
VIX210519C00025000,2021-04-21 3:53PM EDT,25.00,1.35,0.00,0.00,-0.41,-23.30%,4164,27386,25.00%
VIX210519C00026000,2021-04-21 4:04PM EDT,26.00,1.30,0.00,0.00,-0.25,-16.13%,1035,48353,25.00%
VIX210519C00027000,2021-04-21 4:10PM EDT,27.00,1.20,0.00,0.00,-0.30,-20.00%,46,32718,50.00%
VIX210519C00028000,2021-04-21 4:01PM EDT,28.00,1.10,0.00,0.00,-0.30,-21.43%,2833,16577,50.00%
VIX210519C00029000,2021-04-21 4:00PM EDT,29.00,1.00,0.00,0.00,-0.30,-23.08%,11895,26640,50.00%
VIX210519C00030000,2021-04-21 4:08PM EDT,30.00,0.95,0.00,0.00,-0.25,-20.83%,6665,79196,50.00%
VIX210519C00032500,2021-04-21 4:01PM EDT,32.50,0.80,0.00,0.00,-0.20,-20.00%,1926,72050,50.00%
VIX210519C00035000,2021-04-21 4:08PM EDT,35.00,0.70,0.00,0.00,-0.15,-17.65%,2791,88377,50.00%
VIX210519C00037500,2021-04-21 4:11PM EDT,37.50,0.60,0.00,0.00,-0.15,-20.00%,2318,22231,50.00%
VIX210519C00040000,2021-04-21 3:41PM EDT,40.00,0.50,0.00,0.00,-0.16,-24.24%,12997,66463,50.00%
VIX210519C00042500,2021-04-21 4:06PM EDT,42.50,0.45,0.00,0.00,-0.10,-18.18%,304,87153,50.00%
VIX210519C00045000,2021-04-21 4:11PM EDT,45.00,0.40,0.00,0.00,-0.10,-20.00%,7371,54206,50.00%
VIX210519C00047500,2021-04-21 4:15PM EDT,47.50,0.35,0.00,0.00,-0.07,-16.67%,577,44487,50.00%
VIX210519C00050000,2021-04-21 4:01PM EDT,50.00,0.30,0.00,0.00,-0.08,-21.05%,4669,55127,50.00%
VIX210519C00055000,2021-04-21 3:40PM EDT,55.00,0.20,0.00,0.00,-0.10,-33.33%,2689,87923,50.00%
VIX210519C00060000,2021-04-21 4:00PM EDT,60.00,0.20,0.00,0.00,-0.03,-13.04%,7925,112462,50.00%
VIX210519C00065000,2021-04-21 4:00PM EDT,65.00,0.15,0.00,0.00,-0.02,-11.76%,27,53162,50.00%
VIX210519C00070000,2021-04-21 11:14AM EDT,70.00,0.15,0.00,0.00,+0.01,+7.14%,232,35691,50.00%
VIX210519C00075000,2021-04-21 1:05PM EDT,75.00,0.10,0.00,0.00,-0.05,-33.33%,577,39013,50.00%
VIX210519C00080000,2021-04-21 4:09PM EDT,80.00,0.10,0.00,0.00,0.00,-,600,16601,50.00%
VIX210519C00085000,2021-04-21 1:42PM EDT,85.00,0.07,0.00,0.00,+0.02,+40.00%,56,12614,50.00%
VIX210519C00090000,2021-04-21 1:15PM EDT,90.00,0.07,0.00,0.00,+0.02,+40.00%,50,9422,50.00%
VIX210519C00095000,2021-04-19 12:03PM EDT,95.00,0.05,0.00,0.00,0.00,-,10,12019,50.00%
VIX210519C00100000,2021-04-21 11:57AM EDT,100.00,0.05,0.00,0.00,+0.02,+66.67%,25,7151,50.00%
VIX210519C00110000,2021-04-20 3:28PM EDT,110.00,0.05,0.00,0.00,0.00,-,10,43835,50.00%
VIX210519C00120000,2021-04-16 4:05PM EDT,120.00,0.03,0.00,0.00,0.00,-,700,15799,50.00%
VIX210519C00130000,2021-03-26 9:32AM EDT,130.00,0.05,0.00,0.00,0.00,-,19,6693,50.00%
VIX210519C00140000,2021-03-25 3:52PM EDT,140.00,0.05,0.00,0.00,0.00,-,25,4045,50.00%
VIX210519C00150000,2021-03-24 3:57PM EDT,150.00,0.05,0.00,0.00,0.00,-,2,35869,50.00%
