Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
VIX210519C00017000,2021-04-16 4:14PM EDT,17.00,3.70,0.00,0.00,-0.20,-5.13%,2079,5254,6.25%
VIX210519C00018000,2021-04-16 3:59PM EDT,18.00,3.10,0.00,0.00,-0.30,-8.82%,882,7351,12.50%
VIX210519C00019000,2021-04-16 4:07PM EDT,19.00,2.75,0.00,0.00,-0.15,-5.17%,501,5368,12.50%
VIX210519C00020000,2021-04-16 4:15PM EDT,20.00,2.35,0.00,0.00,-0.19,-7.48%,12165,39051,12.50%
VIX210519C00021000,2021-04-16 3:59PM EDT,21.00,2.10,0.00,0.00,-0.10,-4.55%,6025,24824,25.00%
VIX210519C00022000,2021-04-16 4:04PM EDT,22.00,1.86,0.00,0.00,-0.19,-9.27%,4731,38131,25.00%
VIX210519C00023000,2021-04-16 3:51PM EDT,23.00,1.70,0.00,0.00,-0.10,-5.56%,46,19645,25.00%
VIX210519C00024000,2021-04-16 3:59PM EDT,24.00,1.50,0.00,0.00,-0.11,-6.83%,5604,10728,25.00%
VIX210519C00025000,2021-04-16 4:05PM EDT,25.00,1.40,0.00,0.00,-0.15,-9.68%,930,22684,25.00%
VIX210519C00026000,2021-04-16 4:00PM EDT,26.00,1.25,0.00,0.00,-0.15,-10.71%,654,48533,50.00%
VIX210519C00027000,2021-04-16 3:36PM EDT,27.00,1.15,0.00,0.00,-0.15,-11.54%,11265,23960,50.00%
VIX210519C00028000,2021-04-16 3:46PM EDT,28.00,1.07,0.00,0.00,-0.06,-5.31%,239,16919,50.00%
VIX210519C00029000,2021-04-16 3:57PM EDT,29.00,1.00,0.00,0.00,-0.06,-5.66%,8430,19893,50.00%
VIX210519C00030000,2021-04-16 3:59PM EDT,30.00,0.90,0.00,0.00,-0.12,-11.76%,3187,79319,50.00%
VIX210519C00032500,2021-04-16 3:55PM EDT,32.50,0.80,0.00,0.00,-0.03,-3.61%,2309,74595,50.00%
VIX210519C00035000,2021-04-16 3:58PM EDT,35.00,0.65,0.00,0.00,-0.03,-4.41%,1236,74337,50.00%
VIX210519C00037500,2021-04-16 3:26PM EDT,37.50,0.57,0.00,0.00,-0.03,-5.00%,6047,17715,50.00%
VIX210519C00040000,2021-04-16 4:15PM EDT,40.00,0.48,0.00,0.00,-0.07,-12.73%,8985,52445,50.00%
VIX210519C00042500,2021-04-16 4:05PM EDT,42.50,0.42,0.00,0.00,-0.08,-16.00%,815,82356,50.00%
VIX210519C00045000,2021-04-16 4:05PM EDT,45.00,0.37,0.00,0.00,+0.02,+5.71%,12376,45241,50.00%
VIX210519C00047500,2021-04-16 3:59PM EDT,47.50,0.35,0.00,0.00,0.00,-,6,40511,50.00%
VIX210519C00050000,2021-04-16 3:54PM EDT,50.00,0.30,0.00,0.00,0.00,-,1706,47619,50.00%
VIX210519C00055000,2021-04-16 2:25PM EDT,55.00,0.25,0.00,0.00,+0.03,+13.64%,20,83528,50.00%
VIX210519C00060000,2021-04-16 4:05PM EDT,60.00,0.17,0.00,0.00,0.00,-,2086,72843,50.00%
VIX210519C00065000,2021-04-16 4:05PM EDT,65.00,0.20,0.00,0.00,+0.05,+33.33%,789,52565,50.00%
VIX210519C00070000,2021-04-16 3:55PM EDT,70.00,0.15,0.00,0.00,+0.02,+15.38%,17,34751,50.00%
VIX210519C00075000,2021-04-16 12:23PM EDT,75.00,0.10,0.00,0.00,+0.03,+42.86%,53,37755,50.00%
VIX210519C00080000,2021-04-15 12:17PM EDT,80.00,0.07,0.00,0.00,0.00,-,25,16592,50.00%
VIX210519C00085000,2021-04-16 3:44PM EDT,85.00,0.05,0.00,0.00,0.00,-,8,12608,50.00%
VIX210519C00090000,2021-04-15 10:27AM EDT,90.00,0.03,0.00,0.00,0.00,-,20,9422,50.00%
VIX210519C00095000,2021-04-16 12:04PM EDT,95.00,0.03,0.00,0.00,0.00,-,1,11959,50.00%
VIX210519C00100000,2021-04-15 3:58PM EDT,100.00,0.03,0.00,0.00,-0.02,-40.00%,3,7154,50.00%
VIX210519C00110000,2021-04-16 4:05PM EDT,110.00,0.03,0.00,0.00,0.00,-,600,43446,50.00%
VIX210519C00120000,2021-04-16 4:05PM EDT,120.00,0.03,0.00,0.00,0.00,-,700,15204,50.00%
VIX210519C00130000,2021-03-26 9:32AM EDT,130.00,0.05,0.00,0.00,0.00,-,19,6693,50.00%
VIX210519C00140000,2021-03-25 3:52PM EDT,140.00,0.05,0.00,0.00,0.00,-,25,4045,50.00%
VIX210519C00150000,2021-03-24 3:57PM EDT,150.00,0.05,0.00,0.00,-0.05,-50.00%,2,35867,50.00%
