contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Mid
VIXW260325C00011000,2026-02-25 14:36:29+00:00,11.0,8.0,11.48,16.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,13.74
VIXW260325C00011500,2026-02-26 19:34:36+00:00,11.5,8.15,10.92,15.54,0.0,0.0,3.0,1,1.0000000000000003e-05,True,REGULAR,USD,13.23
VIXW260325C00012000,2026-02-25 14:38:10+00:00,12.0,7.0,10.36,15.07,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,12.715
VIXW260325C00012500,2026-03-02 16:02:34+00:00,12.5,10.2,9.8,14.61,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,12.205
VIXW260325C00013000,2026-03-05 14:30:04+00:00,13.0,8.6,9.25,14.14,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,11.695
VIXW260325C00014000,2026-03-05 18:59:06+00:00,14.0,8.71,8.5,13.21,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,10.855
VIXW260325C00014500,2026-03-04 17:14:26+00:00,14.5,6.45,7.97,12.74,0.0,0.0,5.0,278,1.0000000000000003e-05,True,REGULAR,USD,10.355
VIXW260325C00015000,2026-03-06 17:44:13+00:00,15.0,9.33,7.45,12.2,1.5,19.157087,15.0,107,1.0000000000000003e-05,True,REGULAR,USD,9.825
VIXW260325C00016000,2026-03-05 17:08:06+00:00,16.0,6.0,6.42,11.24,0.0,0.0,21.0,649,1.0000000000000003e-05,True,REGULAR,USD,8.83
VIXW260325C00017000,2026-03-06 18:23:27+00:00,17.0,6.83,5.4,10.3,0.8299999,13.833332,17.0,133,1.0000000000000003e-05,True,REGULAR,USD,7.8500000000000005
